route,rail,model_id,model_label,lists,recommendation_eligible_static,in_live_catalog,enabled,status,confidence,decided_window,decided_service_attempts,decided_ok,wilson_lower,wilson_upper,status_reasons,live_min_ask_in,live_min_ask_out,live_min_tier_avail_in,live_cw_median_ask_in,live_cw_median_ask_out,official_in,official_out,live_min_ask_in_under_policy,served_ask_in_median_24h,served_ask_out_median_24h,served_tier_rank_in_median_24h,share_served_under_policy_24h,requests_1h,ok_1h,errors_1h,client_errors_1h,service_attempts_1h,service_success_rate_1h,err_upstream_unavailable_1h,err_timeout_1h,err_rate_limited_1h,err_server_error_1h,ttft_ms_p50_1h,ttft_ms_p95_1h,duration_ms_p50_1h,duration_ms_p95_1h,requests_24h,ok_24h,errors_24h,client_errors_24h,service_attempts_24h,service_success_rate_24h,err_upstream_unavailable_24h,err_timeout_24h,err_rate_limited_24h,err_server_error_24h,ttft_ms_p50_24h,ttft_ms_p95_24h,duration_ms_p50_24h,duration_ms_p95_24h,requests_7d,ok_7d,errors_7d,client_errors_7d,service_attempts_7d,service_success_rate_7d,err_upstream_unavailable_7d,err_timeout_7d,err_rate_limited_7d,err_server_error_7d,ttft_ms_p50_7d,ttft_ms_p95_7d,duration_ms_p50_7d,duration_ms_p95_7d,platform_rail_state,live_book_hash,live_price_ts,request_log_coverage_end,generated_at,code_commit,catalog_raw_sha256,upstream_errors_1h,account_errors_1h,unknown_errors_1h,err_upstream_reject_1h,err_upstream_reject_presumed_1h,upstream_errors_24h,account_errors_24h,unknown_errors_24h,err_upstream_reject_24h,err_upstream_reject_presumed_24h,upstream_errors_7d,account_errors_7d,unknown_errors_7d,err_upstream_reject_7d,err_upstream_reject_presumed_7d
ali/qwen3.8-max,ali,qwen3.8-max,Qwen 3.8 Max,top20:18;daily_shortlist:7,True,True,True,healthy,high,24h,135,135,0.980349,1.0,24h success 135/135 service attempts | 24h: 5 client/account-attributable errors excluded,0.018,0.054,4,1.0,3.0,2.0,6.0,True,0.018,0.054,1.0,1.0,50,47,3,3,47,1.0,0,0,0,0,5793.0,59235.3,20486.0,59235.3,140,135,5,5,135,1.0,0,0,0,0,5298.0,36709.8,13211.0,52335.6,140,135,5,5,135,1.0,0,0,0,0,5298.0,36709.8,13211.0,52335.6,operational,ddde7430e87b76ea,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ali/qwen3.8-max-0902,ali,qwen3.8-max-0902,Qwen3.8 Max 0902,top20:6,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.01,0.03,15,0.014,0.042,2.0,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,bc69b34e053b7ba4,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
cb/deepseek-v4.1-flash,cb,deepseek-v4.1-flash,DeepSeek V4.1 Flash,top20:1;daily_shortlist:1,True,True,True,healthy,high,24h,3821,3821,0.999292,1.0,24h success 3821/3821 service attempts | 24h: 6 client/account-attributable errors excluded,0.00015,0.0006,1,0.006,0.024,0.15,0.6,True,0.0015,0.006,2.0,1.0,504,502,2,2,502,1.0,0,0,0,0,3258.5,25416.0,5319.0,31488.5,3827,3821,6,6,3821,1.0,0,0,0,0,2485.0,11046.0,4071.0,22464.0,3827,3821,6,6,3821,1.0,0,0,0,0,2485.0,11046.0,4071.0,22464.0,operational,e1369829f945fd14,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb/gemini-3.1-flash-image,cb,gemini-3.1-flash-image,Gemini 3.1 Flash Image,,,True,True,healthy,medium,24h,43,43,0.940795,1.0,24h success 43/43 service attempts | 24h: 10 client/account-attributable errors excluded,0.0045,0.54,9,0.025,3.0,0.5,60.0,True,0.0055,0.66,1.0,1.0,,,,,,,,,,,,,,,53,43,10,10,43,1.0,0,0,0,0,16122.0,28182.9,16122.0,28182.9,53,43,10,10,43,1.0,0,0,0,0,16122.0,28182.9,16122.0,28182.9,operational,26e1cdfe8d730fad,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,0,0,0,0,0,0,0,0,0,0
cb/glm-5.2,cb,glm-5.2,GLM 5.2,top20:15;daily_shortlist:6,True,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.0126,0.0396,9,0.056,0.176,1.4,4.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,0f2013e5821b0a26,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
cb/glm-5.3,cb,glm-5.3,GLM 5.3,top20:19,True,True,True,healthy,high,24h,157,157,0.983056,1.0,24h success 157/157 service attempts,0.0126,0.0396,10,0.042,0.132,1.4,4.4,True,0.014,0.044,2.0,1.0,,,,,,,,,,,,,,,157,157,0,0,157,1.0,0,0,0,0,4502.0,64000.8,5658.0,69276.0,157,157,0,0,157,1.0,0,0,0,0,4502.0,64000.8,5658.0,69276.0,operational,51ac275643fbf657,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,0,0,0,0,0,0,0,0,0,0
cb/gpt-5.6-luna,cb,gpt-5.6-luna,GPT 5.6 Luna,top20:9,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.0018,0.0108,9,0.0078,0.0468,0.2,1.2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,52c19c81ad553fc1,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
cb/gpt-6-astra,cb,gpt-6-astra,GPT 6 Astra,,,True,True,healthy,high,24h,834,815,0.96705,0.984299,"24h success 815/834 service attempts | 24h: 19 upstream 400 rejects counted as failures (11133, #40 M0.6; 4 with a telemetry error code, 15 presumed by the cb/cbcn 400 rule)",0.09,0.45,269,0.37,1.85,10.0,50.0,True,0.11,0.55,1.0,0.290798,,,,,,,,,,,,,,,834,815,19,0,834,0.977218,0,0,0,0,6871.0,25762.5,9407.0,53074.9,882,863,19,0,882,0.978458,0,0,0,0,7026.0,25556.4,9452.0,51718.7,operational,5645265935aa3ee0,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,19,0,0,19,15,19,0,0,19,15
cb/hy4-preview,cb,hy4-preview,Hy4 Preview,top20:16,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.007506,0.022509,10,0.0417,0.12505,0.834,2.501,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,4f7b0212cf7fdec8,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
cb/minimax-m3,cb,minimax-m3,MiniMax M3,top20:10;daily_shortlist:5,True,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.0027,0.0108,9,0.015,0.06,0.3,1.2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,2d2cafa6e11d0058,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
cbcn/deepseek-v4-flash,cbcn,deepseek-v4-flash,DeepSeek V4 Flash,top20:4;daily_shortlist:3,True,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.00616,0.01848,426,0.00638,0.01914,0.22,0.66,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,01d47f4bc1768cd9,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
